GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
ABCD3,1.20355723,-1.155636812,-0.023073633,-0.079936427,-0.005948602,-0.123222099,0.342494782,-0.003741813,-0.25313817,0.133412287,-0.020961857,0.0026395,-0.223668116
ABCD4,0.601259179,0.499396115,-0.840640199,-0.230767117,0.476313669,-0.402767956,-0.052053291,-0.032689975,0.27613332,-0.135610623,0.070479532,0.028449283,0.280560634
ABCE1,1.121253472,-1.564284057,-0.241097154,0.199862606,0.214010895,-0.154657044,0.109443417,-0.018645662,-0.029947804,0.061357778,-0.154784504,-0.02938729,-0.039803017
ABCF1,0.915535435,0.397866453,-0.230366603,-0.489582178,-0.109445651,-0.444439165,0.390149698,-0.129360629,-0.100673037,-0.042859352,0.010827123,-0.143768652,-0.116679608
ABCF2,0.435326064,0.437190989,-0.809508749,0.371362408,0.239338503,0.223836123,-0.67379323,-0.479793476,0.125684202,0.296554491,0.157971551,-0.067876379,0.288363538
ABCF3,1.081662355,0.392822151,-0.175281837,-0.914308904,0.286682336,-0.445536127,0.243765528,-0.4260203,-0.028698847,0.060955837,0.341678867,0.094726907,-0.07986
ABCG1,0.638046339,1.206075153,0.350833917,-0.6117365,-0.01233854,-0.973383309,0.507454253,-0.190616337,0.511692752,-0.340833625,0.765654549,-0.197095769,0.450843832
ABCG4,-4.217975592,0.436384749,0.235067998,0.693576142,0.953768269,-0.411281791,-0.288784004,0.246506891,-0.492228484,-0.466310389,-0.296330871,0.117339251,-0.59973321
ABCG5,-2.432989155,-1.291611858,0.865288163,-0.626252838,0.16961288,-0.401967352,-0.190076494,0.086719555,-0.16115296,1.097258494,0.590743924,0.730871547,0.56656331
ABCG8,-1.302849797,-1.457511057,-0.794389055,-0.674015116,0.169898943,0.197886648,-0.086118411,0.205916519,-0.552874248,0.647002107,-0.770923317,-0.368022279,0.613845834
ABHD1,0.495970573,0.264832523,-0.702352222,1.117242606,0.267922554,0.592877846,-0.123089182,-0.103999541,0.126682042,-0.12863546,-0.123368554,0.176622275,0.149240004
ABHD10,1.176028846,-1.557267167,-0.109068612,0.132226424,0.191556522,-0.234160631,0.191196397,-0.134197525,0.082603678,0.167642767,0.2825627,-0.230552727,-0.097702596
ABHD11,0.382146277,0.346446966,0.163230855,-0.548150822,0.603519142,0.116053149,-0.070584831,-0.129772837,-0.253033222,0.523621323,-0.315447687,-0.34303522,0.134658231
ABHD12,0.287931964,0.925146358,-0.654004346,-0.315607633,-0.097869541,0.410214785,-0.57034103,-0.100977897,-0.086786893,-0.090512157,0.879505569,0.001489436,0.066118149
ABHD12B,-0.156628245,1.613271003,1.511997067,-0.375071653,-0.451925044,0.720876186,-0.019554181,0.181603221,0.054780422,0.124632611,-0.139720589,-0.158033295,-0.362959116
ABHD13,1.240003612,-1.100462441,0.415945621,-0.290618827,0.182249674,0.059727937,-0.153828215,0.017492679,-0.146431699,0.182566058,0.192665755,-0.02235848,-0.098118285
ABHD14A,0.724095909,-0.008703744,-0.379050849,-0.595710857,0.027749922,0.064231881,0.086018742,-0.281177085,0.185465102,-0.726773341,0.175050287,0.572185057,-0.107731381
ABHD14B,0.344646548,0.621514049,-1.010931377,0.403383548,0.107605309,0.531112979,-0.247154387,-0.194203016,-0.323988983,0.346887439,0.158115387,-0.719241155,0.147356972
ABHD2,0.422954673,1.619071038,0.787756721,-0.45351496,-0.340520608,0.092513006,0.217831621,-0.109446571,0.230634632,-0.051944859,-0.034860456,-0.129707775,-0.043797771
ABHD3,1.186355869,-0.521795849,0.984887417,0.252231269,0.015727083,-0.062981697,-0.22481541,-0.042574817,0.037641446,-0.093288332,-0.166118754,0.157238726,0.004086303
ABHD4,0.362101279,1.605717197,0.745074335,-0.404706103,0.030794264,-0.004760568,-0.580109393,-0.436008479,0.028941155,-0.286418235,0.754212004,0.187428505,0.210248155
ABHD5,0.82494702,0.269790954,1.522831598,-0.635350828,-0.327200112,0.076376035,0.022184234,-0.442398317,-0.259367055,0.118101435,-0.298433304,0.159925409,0.221095594
ABHD6,0.891686311,-0.535414874,0.252791593,-0.675678576,-0.081865265,0.004655221,0.096415465,-0.00260951,-0.157933635,-0.257155996,0.249979436,0.400635711,0.252336595
ABHD8,0.278519685,0.072132741,-0.280627754,0.937140115,0.332056177,-0.036857424,0.434591535,0.27787654,0.010566111,0.75481349,-0.158471,-0.118078502,0.024047556
ABI1,1.109865738,-0.514433904,0.514765131,-0.069735967,-0.159849316,0.233711585,-0.05469669,0.08262497,-0.158281124,0.016324573,-0.058782976,-0.004632409,-0.020813139
ABI2,0.419416184,0.162058295,-0.606402682,-0.553865962,-0.512194129,0.234407982,-0.137462577,-0.098926222,0.213317699,0.139973947,-0.362216627,0.114248836,-0.029200851
ABI3,0.467305462,1.393316172,-0.0055138,0.190076023,0.79941318,0.488218894,0.302081215,-0.612510422,0.459091953,-0.246932624,-0.250702032,0.273708055,0.218869053
ABL1,0.241903451,1.3296269,-0.713568785,-0.278674939,-0.162570009,-0.2500864,-0.237823716,0.064987772,0.488249136,-0.051372444,0.464565146,0.117836791,0.034633925
ABL2,0.511281531,0.517786955,-0.249154816,-0.336520033,-0.28872335,0.081350206,-0.364568264,0.199732336,-0.083867059,-0.071658602,-0.021543759,0.009155087,-0.146865033
ABLIM1,0.629780331,0.163266563,-1.483557154,0.190193051,-0.446901681,-0.19211451,-0.186925976,-0.073112798,-0.589782576,0.150627681,0.260110379,0.219620511,-0.124654889
ABLIM2,-1.022108938,0.202335883,-0.447703554,-0.241048738,0.080029598,-0.460425383,-0.855665099,-0.39777393,0.257371255,-0.385421589,-0.453281567,0.204849204,0.647016065
ABLIM3,-1.241049417,2.027481126,1.040727111,-0.084786648,-0.614872617,-0.872879675,-0.171009152,0.231311624,0.142100461,0.731202213,0.167259236,0.015493738,0.233147772
ABR,0.409911506,1.704399887,0.037969162,-0.002308289,0.37379698,-0.103079263,-0.171698265,0.21384242,0.275368441,0.150714341,0.022304781,0.025726929,0.150800301
ABT1,1.043645636,-0.810338995,0.135384583,-0.016406037,0.148496407,0.114408685,0.076766251,-0.060314679,0.095056828,0.00342003,-0.106718739,-0.233393396,0.224210421
ABTB1,0.132385787,1.856898437,0.819299779,0.975260844,0.0338686,0.625035468,-0.225369645,-0.228608997,-0.041410258,-0.102362144,-0.039433952,-0.259816363,0.19070892
ABTB2,-0.22149992,0.961521732,-0.662024659,0.701490172,0.426926204,1.263886644,0.211152505,0.478888518,1.119408393,0.283971566,0.041172815,-0.00181278,0.506600159
ACAA1,1.075893494,0.403605709,0.545099013,0.351256142,0.55466637,0.15022896,-0.025947183,0.181627683,0.009551516,0.107725397,-0.271305291,-0.086196297,0.209886959
ACAA2,1.138798837,-0.775495161,0.294862591,-0.108919315,0.201543941,0.450038998,0.083834516,0.029026748,0.11731367,0.102323069,0.164349183,0.16400169,0.002419417
ACACA,0.240853214,0.459661301,-0.822791322,-0.906967411,-0.34064293,0.307078604,-0.221822773,-0.087597226,0.157423252,-0.025684145,0.104130966,-0.13453059,-0.074303104
ACACB,0.113611133,0.880308183,-0.413403409,-0.384999097,-0.40097311,-0.384277366,-0.808693171,0.614173092,0.324524008,-0.253001709,0.409515233,0.483779399,0.125931175
ACAD10,0.81775879,0.737605564,-0.338894994,-0.154884293,0.28720067,-0.072442024,-0.081008146,0.286946858,0.114014887,0.037584191,-0.228232644,-0.007806516,-0.076826134
ACAD11,0.711641593,-0.639641527,-0.744490369,-0.273039712,-0.217258745,0.173804541,-0.142212361,0.155985696,0.014838937,0.254206534,-0.372291564,0.045883575,-0.053312382
ACAD8,1.018686006,-0.012661748,-0.430773659,-0.595609739,-0.064880511,-0.073256801,0.107516159,0.043777858,-0.031287009,-0.172971899,0.019238518,-0.161107011,0.015268348
ACAD9,0.878953465,0.410900961,-0.607839158,-0.525175538,0.285922062,-0.308513246,0.32804841,0.131531207,-0.107057979,0.19514626,-0.000206746,-0.468671895,-0.15504673
ACADM,0.783604647,-1.590707058,-0.03573933,0.516547433,-0.048750625,0.143118474,0.035231548,-0.053838407,-0.168773731,-0.101447175,0.044600667,0.002561261,0.217459516
ACADS,0.960705801,0.236502245,-0.259429751,-0.444415049,-0.049317523,-0.154892816,0.686347835,0.168792777,0.071120086,-0.362304487,-0.172593699,-0.243829297,0.21111492
ACADSB,0.916019601,-0.378478211,-0.361075261,-0.115434506,-0.093889357,0.009058943,-0.070109331,-0.116668387,-0.304649967,0.112859614,0.194359334,0.059069362,0.071005854
ACADVL,0.909444816,0.376499868,0.132911942,-0.708616394,0.124201749,-0.289309385,0.659350934,0.144998391,-0.244869375,-0.102109435,0.044457968,-0.031051806,0.067790759
ACAT1,0.820016295,-1.063744419,-0.036608874,0.876890469,0.04779651,-0.087371208,-0.561246637,0.211641232,0.531303493,-0.008573178,-0.077777786,-0.325225658,0.101595351
ACAT2,1.262718773,-1.199022066,-0.075221449,0.195593481,-0.060126647,-0.109781944,0.20176885,0.037147877,-0.109266725,0.099949984,0.135304115,-0.214831473,-0.055145068
ACBD3,1.239522165,-0.86789126,0.271219235,-0.263643754,0.151470205,0.042987116,0.276806147,0.029038181,-0.078593688,0.02018035,-0.15819719,-0.136585522,-0.229286317
ACBD4,-0.069271351,0.346913694,-0.614527911,0.082319389,0.039990601,0.340379573,-0.605180961,0.646005004,-0.190225822,-0.006411416,-0.417274643,-0.101003549,0.16641064
ACBD5,1.067008124,-0.804981452,0.475937375,-0.196501193,0.20607227,0.236805929,0.237771092,-0.009890743,-0.050515474,-0.046283185,-0.375492499,-0.110815263,-0.220039898
ACBD6,0.879101282,0.229202263,-0.448206134,-0.522541893,0.081613608,-0.292506528,0.038134457,0.04870668,-0.072040027,0.12735226,-0.213623804,-0.015334714,-0.189187137
ACBD7,-3.179728651,-0.903355002,-0.957302227,0.859203739,-0.961619437,-0.778639475,0.162485453,1.560688302,0.18870629,-0.655431869,0.289168597,0.155703373,-0.149634335
ACD,0.645341847,0.811028593,-0.364285833,0.758431595,0.176137378,-0.042961399,-0.271295349,0.114678482,-0.10485585,-0.278279036,0.130167808,0.648408404,-0.073402341
ACHE,-2.157403404,0.789070222,0.19945742,1.555649555,-1.74225307,0.778130135,0.352278254,0.195725675,0.755573844,-0.282380936,0.334937417,-0.260159245,0.408313929
ACIN1,0.809701861,0.934944275,-0.210838714,-0.244129175,0.099113723,-0.116137609,0.001106195,-0.001526673,-0.081051306,-0.034317457,0.023589011,-0.02332241,-0.085346804
ACLY,0.991777345,0.714727829,0.072954574,-0.458124661,-0.143368815,0.035821584,0.51708471,-0.025596701,-0.227148296,0.063194099,0.098833259,-0.125289921,-0.28130159
ACO1,0.765616709,0.11448887,0.261883664,-0.045184155,-0.125564358,0.605302209,-0.043858069,0.543530675,-0.159122093,-0.232103167,0.210821919,-0.343072133,0.189708039
ACO2,0.61003593,1.145930804,-0.493419194,-0.253866344,-0.085153454,-0.180407772,0.31294614,0.121666969,-0.266677184,-0.114387723,-0.030960536,0.030657666,-0.002478265
ACOT1,0.560111147,-0.569446228,-0.204984536,-0.501717551,0.297542214,-0.153971998,0.5050948,0.085664871,-0.249712242,-0.00138215,-0.131200357,-0.047293112,0.06137748
ACOT11,-0.761020523,0.529642433,-0.390067208,0.043106876,-0.3188176,1.161349656,0.050869744,1.603561092,0.162022525,0.424912096,0.408661477,-0.337576266,0.038530663
ACOT2,0.823708373,0.048755399,-1.030342105,-0.207519653,0.203663576,-0.496208569,0.305173788,-0.003655854,0.009158125,0.116616387,0.49908891,-0.027522671,0.209357326
ACOT4,0.342512614,0.465767211,0.491767618,-0.504357063,0.343926039,0.765028531,-0.11716756,-0.192150849,0.119253717,-0.810183506,1.273806007,0.167323049,0.085215429
ACOT7,-0.413311799,0.418684883,-0.221491767,0.389559003,0.396658975,1.200302271,-0.260226613,0.056795114,-0.503931298,-0.420903748,-0.52531368,0.19126291,-0.227845868
ACOT8,1.063248761,0.245054204,-0.021050334,-0.361125311,0.530752685,0.26461556,0.13176677,0.147567684,-0.006163193,0.176463556,0.136242601,-0.283485912,0.369359598
ACOT9,1.192863445,-0.791670812,0.631899743,-0.21283351,0.098480763,0.298369,0.334347916,0.202327205,0.01080756,-0.15603897,-0.028367503,-0.277360819,-0.003690637
ACOX1,1.053179133,0.6003437,1.281040277,-0.388795058,-0.088070878,0.392023204,0.102741766,-0.323789178,-0.218132116,0.02453748,-0.05385768,0.076625024,0.084231516
ACOX2,-1.976874489,-0.474544033,-1.244930393,-1.323599697,0.213932905,1.05016506,1.098141151,-0.470562096,0.455289063,-0.783735248,0.35553338,-0.531092084,-0.306496826
ACOX3,0.366305673,0.987935808,-0.816853115,-0.781273052,0.21446794,0.092719205,0.132106202,0.044588277,-0.012138707,0.158616976,-0.194309829,-0.120442695,-0.190406583
ACP1,0.827175391,-0.479204165,-0.173705237,0.403626602,-1.094026799,-0.738559126,-0.036492527,-0.131427855,-0.062293075,-0.000957108,0.098466225,-0.218010273,0.069875623
ACP2,0.655646744,0.591311175,-0.71268013,-0.075929373,0.415080527,-0.056128357,0.285403669,-0.119218654,0.120222309,0.028984088,-0.23081644,-0.109863188,-0.28679854
ACP5,0.611041662,0.101465687,0.058421812,-0.112920241,-0.728651211,0.303140852,-0.025945009,0.703608486,0.101241864,0.275727914,0.030600224,-0.084501511,0.303799648
ACP6,-0.125572627,0.658457263,-0.436201219,-0.809723249,-0.246288628,-0.079079059,-0.344850715,-0.22001303,0.26073355,0.156151045,-0.343818709,-0.314932345,0.1859688
ACRBP,0.652279078,0.99567744,1.032523768,0.232443447,-0.828083268,0.079256861,-0.053797864,0.393066142,-0.929856775,0.321874266,-0.032408795,0.227563771,-0.301315374
ACRV1,-3.176175877,-0.117004851,-0.005813427,-0.482718641,-0.137420041,-0.695294341,-0.781262759,-0.709515151,-1.093145561,0.665755387,0.176303628,0.398738823,-0.363773001
ACSBG1,0.668217329,-0.813596142,0.136684787,-0.388905493,-0.361168149,-0.145763549,0.143769153,0.091619184,-0.25173178,0.232362813,-0.168662279,-0.163132981,0.326212946
ACSF3,0.65989529,0.798917784,-0.570729261,0.126193733,0.017392262,-0.051393322,0.106510029,0.242828885,-0.0027641,-0.264279888,-0.14530401,-0.00668091,-0.076682959
ACSL1,0.773034219,0.463457363,2.239109047,-0.190537958,0.153384862,0.330308381,-0.624800636,0.005163666,-0.59393957,0.111628598,0.390101439,-0.209650784,-0.520038402
ACSL3,1.196243833,-0.532293828,0.462393576,-0.140172522,-0.18907274,0.032512245,0.053871995,-0.165060552,-0.124660884,0.010886091,0.173065555,-0.063612445,0.060661652
ACSL4,1.309075324,-0.576090836,1.375529604,-0.100794474,-0.027621392,0.360958527,0.045798918,0.12642027,-0.164862337,0.075649503,0.236624224,-0.157092517,-0.302105339
ACSL5,1.125398469,-0.102930099,-0.264642178,-0.908578054,-0.104581489,0.067981734,0.424582448,-0.045003873,0.041250111,-0.138840355,0.100548358,0.044908428,-0.322790229
ACSL6,0.165078188,-0.179735718,-0.533540484,-0.067641563,-1.274429909,-0.575945062,-0.183789917,0.021492166,-0.419607046,0.045855439,0.20795671,-0.259509436,-0.218098795
ACSM2B,-4.195583519,-2.194444226,0.349989528,-1.087921651,-0.555815762,0.214380174,0.408205928,-0.943772103,0.619943014,0.311976724,-0.407135545,-0.228751105,0.888284864
ACSM3,0.378776126,-1.01019576,-0.069662342,0.37889458,-0.481354452,0.351033816,0.216887284,0.685342398,0.171661799,0.208144391,0.003993126,-0.011072254,0.628808106
ACSM5,-3.699375268,-1.374081314,-0.08406602,-1.081511919,0.048514086,-0.116247239,-0.67451019,0.099254654,-1.34616661,0.540641789,0.184004093,0.937106834,0.242611113
ACSS1,0.763195509,0.426915307,-0.73295601,-0.57141419,0.139068714,0.072378911,0.06296915,0.338644226,0.162411072,0.01919311,0.077817084,0.167298573,-0.018383375
ACSS2,0.649733708,0.784014255,0.282595912,-0.228473953,0.177845387,-0.14223877,0.046992577,-0.108294114,-0.497836095,0.209308635,-0.162582516,-0.282125814,-0.126258304
ACSS3,-2.195124857,-0.720734207,1.610681245,-0.334666747,0.005264563,-0.466065298,-0.010944691,0.373833694,0.760186441,1.121696032,0.202193398,-0.589390941,0.037121887
ACTA2,0.438335578,1.165883265,-0.640750173,-0.373207101,0.030660205,-0.135572292,-0.657836498,-0.13008543,0.169215672,-0.527484569,0.660475206,0.038181657,-0.406042845
ACTB,0.498660709,1.821358136,0.532013273,0.234954044,-0.196343035,0.310031839,0.155010712,-0.129115591,0.093620209,0.163361747,0.201339311,-0.227626824,-0.137922334
ACTC1,-5.612177274,-0.184511284,0.465548706,0.432009367,0.355578815,-0.674284875,0.397463613,0.108313424,0.17346669,0.070892197,0.840314936,-0.534154227,0.457831748
ACTG1,1.27922212,0.121983561,0.298280452,-0.433204536,-0.079673543,-0.101732797,0.146769985,-0.18024817,-0.019526119,0.13690539,0.472836283,0.055147844,-0.004999033
ACTL6A,0.933713028,-1.43229533,-0.194433579,0.153576544,0.065989666,0.1097071,-0.167987922,-0.170894739,-0.096371652,0.177285888,-0.126196322,-0.247620382,-0.064896177
ACTL6B,-3.931162718,-0.483029726,0.733937557,-0.008204109,0.417432187,-0.047596144,-0.633135172,-0.137971481,-1.3365149,0.057958968,0.595870741,0.35311353,0.000674484
ACTN1,0.351599663,2.343435885,1.015370496,0.097413158,-0.117374623,-0.2139533,0.216000224,-0.375959712,-0.233805996,0.115798204,0.336390589,0.011707513,-0.056887845
ACTN3,-3.366723932,0.497018294,-0.162054627,-0.408934751,0.965491419,1.054249822,0.900808094,0.30245649,-0.923703032,0.242780681,-0.61687367,0.483561063,-0.896839639
ACTN4,0.305107296,2.415053587,0.259968507,-0.764582508,0.545841284,-0.763560346,1.048898344,-0.517979823,-0.199152005,-0.314204867,0.528631698,0.255959688,-0.463128495
ACTR10,1.07160399,-0.937491924,0.536528922,0.278206215,-0.302931606,0.036312027,-0.262678842,0.083177713,-0.120276215,-0.112445626,-0.147730165,-0.18966032,-0.14013182
ACTR1A,0.952727984,0.452406099,0.485834674,0.01055209,-0.039775788,0.193043933,0.158987514,0.107385284,-0.09279611,0.034960629,-0.172951137,-0.10680029,-0.007136752
ACTR1B,1.185931853,-0.113805306,-0.344813994,-0.072212422,0.05675552,-0.084623384,0.064598746,-0.03729037,-0.038698634,-0.231339983,0.030005098,0.051566231,0.163763596
ACTR2,1.096621832,-0.225200688,0.737949482,-0.170934401,-0.285922044,0.537629725,0.003103083,-0.207208442,-0.271570858,0.087932836,0.084159593,0.089944843,-0.155031326
ACTR3,1.200248993,-0.779504407,0.775613917,-0.271293969,-0.24744907,0.097012796,0.141047746,0.013552773,-0.096313557,0.053530419,0.094758908,0.010754271,-0.045028582
ACTR3B,-0.023734746,0.59870168,-0.584448741,-0.284185836,-0.796521181,-0.052682341,-0.175699094,0.076051578,0.209213823,-0.14409291,0.015449508,-0.105789752,0.191176956
ACTR5,1.106153759,-0.359342867,-0.285901464,-0.203135864,0.338366265,-0.261185095,0.005083095,-0.000356215,-0.053703197,0.038720522,-0.479870034,0.064767182,-0.093474113
ACTR6,0.813291586,-2.02525814,-0.109752824,0.930595264,0.561632137,-0.480699604,-0.193551238,0.035424436,-0.017345259,-0.323803049,0.450213755,0.293883596,0.047864713
