drug,rankpc_rho,pc_qvalue,pc_rho
citalopram,155,2.89224118329579e-09,-0.267168643
BE-2254,156,4.33813365302787e-08,-0.264927426
adatanserin,157,6.11854176867753e-09,-0.264714214
cilazapril,158,4.5084059449399e-09,-0.264468288
TWS-119,159,4.65124819293468e-09,-0.264237195
piribedil,160,2.55232932144704e-08,-0.263187682
DG-041,161,9.10181090071672e-09,-0.26276239
chaetocin,162,1.12355135740175e-07,-0.261831816
nilutamide,163,9.46016092197212e-09,-0.260819246
SKF-77434,164,1.46585110611856e-08,-0.26064153
regadenoson,165,2.05656263035517e-08,-0.260282947
asaraldehyde,166,8.08468616230067e-09,-0.259676106
GW-405833,167,3.44476390970932e-08,-0.258470254
sitagliptin,168,2.40368121876897e-08,-0.258220978
estradiol,169,1.98599770716383e-08,-0.25755931
TAK-715,170,8.14490168834831e-09,-0.257110665
VU-0400193-3,171,2.05198575426516e-08,-0.256768341
etofylline-clofibrate,172,4.82739626356294e-08,-0.256412382
rolipram,173,1.18139131268774e-08,-0.255197728
amuvatinib,174,3.46183310984364e-08,-0.254796503
5'-guanidinonaltrindole,175,7.95652940260279e-08,-0.254544117
estradiol-cypionate,176,4.01287444721955e-08,-0.254454276
4-PPBP,177,2.04476337979444e-08,-0.25317144
oxotremorine-sesquifumarate,178,6.93561969858426e-08,-0.251329019
carvedilol,179,5.82039244507768e-08,-0.25075166
TPCA-1,180,4.54291714587958e-07,-0.250714644
labetalol,181,7.17467337145387e-08,-0.250327278
zaprinast,182,1.50905550381096e-07,-0.249678838
mazindol,183,1.02518467388862e-07,-0.248227275
merimepodib,184,1.00476809424834e-07,-0.247023182
BMS-777607,185,1.29175504353669e-07,-0.246135267
PU-H71,186,3.04515258074613e-07,-0.245988658
FPL-64176,187,1.62798617005879e-08,-0.245835904
loperamide,188,2.5712825044642e-07,-0.245712336
salbutamol,189,3.44476390970932e-08,-0.24531604
API-001,190,1.12263615647431e-07,-0.245171631
relcovaptan,191,2.32878432346917e-07,-0.244687155
SB-222200,192,1.84018707033244e-07,-0.244058396
Ro-28-1675,193,2.75744870841884e-07,-0.243494836
nadolol,194,1.74878292004301e-07,-0.241294711
VUF-5681,195,9.05371611810759e-08,-0.240610583
regorafenib,196,2.97828988084664e-07,-0.240523563
triamterene,197,1.08244174348533e-07,-0.240205666
nicotinamide,198,1.6611692711168e-07,-0.239936358
zosuquidar,199,2.51867082442642e-07,-0.239895373
UBP-302,200,3.49940698182761e-07,-0.239236892
carteolol,201,2.91205413506079e-07,-0.238940638
indirubin,202,3.97562519518133e-07,-0.2379205
propantheline,203,1.03743420235858e-06,-0.237865179
resveratrol,204,9.64802328646696e-08,-0.237634923
esmolol,205,2.96120487422037e-07,-0.23680986
ARRY-334543,206,1.26190388974834e-07,-0.23594782
epinastine,207,1.97779637069033e-07,-0.235945253
CL-218872,208,1.15477275531997e-06,-0.235195693
CS-1657,209,2.36870165597318e-07,-0.234784127
tramiprosate,210,4.73148221629402e-07,-0.234486875
alectinib,211,8.50995561228008e-07,-0.233920874
cimetidine,212,9.99842677449728e-07,-0.231932503
itopride,213,4.92908987900132e-07,-0.231742966
NAS-181,214,4.99465317184661e-07,-0.231198129
BI-78D3,215,1.17527713191957e-06,-0.230437903
linezolid,216,1.13888383586842e-06,-0.230341022
carglumic-acid,217,5.40099370077852e-07,-0.230146564
ellipticine,218,1.2652880572569e-06,-0.228925555
milrinone,219,9.56265893826502e-07,-0.228898388
dofequidar,220,1.80645674924153e-06,-0.22880865
troglitazone,221,3.08027249977822e-07,-0.228799909
telatinib,222,1.77318873509851e-06,-0.228759486
buphenine,223,1.03743420235858e-06,-0.228749997
colforsin,224,1.9941922128605e-06,-0.228630369
fenofibrate,225,2.001422228489e-06,-0.226991585
GSK-1904529A,226,1.19165958358574e-06,-0.226205887
WHI-P154,227,9.69644623137162e-07,-0.225798731
tipiracil,228,3.98133145603877e-07,-0.22543299
SIB-1893,229,8.7180244050144e-07,-0.225326216
amiloride,230,9.85809196402444e-07,-0.225035108
LY-364947,231,2.31350533480189e-06,-0.22427212
ivachtin,232,5.14504023725339e-06,-0.224073672
escitalopram,233,1.17471554651372e-06,-0.223479247
fluocinolone-acetonide,234,5.72098086013862e-06,-0.222879375
CAY-10415,235,9.56265893826502e-07,-0.222728541
CL-82198,236,1.64925639110688e-06,-0.22233203
FR-180204,237,9.23114256561853e-07,-0.222070432
NVP-AUY922,238,4.76672395800166e-06,-0.221619418
nicergoline,239,1.84593597011274e-06,-0.221150612
gabazine,240,2.47115084350282e-06,-0.220899128
taltirelin,241,3.73002121391525e-06,-0.220481884
naproxol,242,3.47367860867334e-06,-0.219637297
ampalex,243,3.13577675297619e-06,-0.218700257
RU-28318,244,2.92294575788232e-06,-0.218115805
anacetrapib,245,4.0134916979731e-06,-0.218058504
KU-60019,246,3.82406768847417e-06,-0.217492829
oleylethanolamide,247,3.44880347647289e-06,-0.217249122
IBC-293,248,3.8382544938558e-06,-0.217031401
loteprednol,249,3.76549457269711e-06,-0.217029273
liothyronine,250,3.11338757470346e-06,-0.216977592
SB-525334,251,3.24167692823579e-06,-0.215993564
fenobam,252,4.69836872792331e-06,-0.215821668
huperzine-a,253,2.55975029134724e-06,-0.21572941
anagrelide,254,1.31762284060992e-06,-0.215201327
paracetamol,255,4.16732850215457e-06,-0.215059395
GW-5074,256,4.39360411289595e-07,-0.213888904
3'-fluorobenzylspiperone,257,3.07503719960208e-05,-0.213120328
avanafil,258,8.18569481387973e-06,-0.210862
UNC-0321,259,4.43360610317953e-06,-0.210632626
conivaptan,260,1.00044455345543e-05,-0.210110084
betaxolol,261,5.7846752967029e-06,-0.210027769
AZD-1480,262,3.86027767582552e-06,-0.209981948
ZK-93426,263,1.00346327961553e-05,-0.209661951
dimenhydrinate,264,5.50472018564582e-06,-0.20933762
bemegride,265,8.66420413117011e-06,-0.208741717
anandamide,266,9.20947449543391e-06,-0.208550117
AICA-ribonucleotide,267,1.00553352275492e-05,-0.20804315
dicoumarol,268,9.97236290434284e-06,-0.207788365
lupanine,269,1.43102365446783e-05,-0.206466274
doxylamine,270,1.1766555477305e-05,-0.206076386
VU-0366037-2,271,1.36689794424798e-05,-0.205948818
SMI-4a,272,1.26878104743262e-05,-0.205901256
pioglitazone,273,6.20365701474619e-06,-0.205900364
rizatriptan,274,1.18289657750396e-05,-0.205055086
emedastine,275,2.15158683545677e-05,-0.204456829
crenolanib,276,2.61221407384625e-05,-0.204220296
CNQX,277,1.6750204491861e-05,-0.204160027
BRD-K28452084,278,2.91685356851705e-05,-0.204076206
mitiglinide,279,1.66731809642036e-05,-0.204027956
sparfosic-acid,280,1.44753776789512e-05,-0.204019931
prednisone,281,2.04267635546076e-05,-0.203756531
propranolol,282,3.4473438139631e-05,-0.202775673
naloxone,283,2.01639998985642e-05,-0.20253207
cevimeline,284,1.46942918436708e-05,-0.201786548
BIBR-1532,285,1.36540529384749e-05,-0.20163916
GYKI-52466,286,2.78367102296156e-05,-0.200722843
LFM-A13,287,1.74869699069701e-05,-0.200534003
loratadine,288,3.7010307133294e-05,-0.200457154
m-3M3FBS,289,2.7696930571301e-05,-0.200423286
L-701252,290,1.8987798974714e-05,-0.20033211
benzonatate,291,3.14214964168273e-05,-0.200321312
clomethiazole,292,5.27308535327427e-05,-0.199759334
lapatinib,293,1.58807470876392e-05,-0.19946356
AGI-6780,294,2.70482998336249e-05,-0.199370236
trihexyphenidyl,295,4.23947318541098e-05,-0.19832762
tamsulosin,296,3.47909494897305e-05,-0.198325344
phenprocoumon,297,5.76770788610182e-05,-0.198095675
bongkrek-acid,298,5.22769207836489e-05,-0.197461684
AS-605240,299,3.81714776727855e-05,-0.197225397
ginkgolide-b,300,3.4473438139631e-05,-0.196733534
nafcillin,301,3.04730981560685e-05,-0.19667163
BRD-K54331210,302,4.7898881699462e-05,-0.196445524
levonorgestrel,303,4.28939516769847e-05,-0.194766595
H-9,304,2.16012635540433e-05,-0.194255698
imiquimod,305,4.75095990091999e-05,-0.194095819
pipamperone,306,5.02410961497993e-05,-0.193868791
tomelukast,307,4.35080656435924e-05,-0.193862835
lurasidone,308,6.51782041792894e-05,-0.193575745
VU-0400195-3,309,6.34949940994187e-05,-0.19333437
Y-26763,310,4.83182009984449e-05,-0.193166427
pinaverium,311,0.000154077,-0.192752945
aceclofenac,312,2.36829799470263e-05,-0.192749541
omeprazole,313,5.56042019793843e-05,-0.192093772
JNJ-10191584,314,3.78636586346743e-05,-0.191870178
venlafaxine,315,4.3319617543087e-05,-0.190894126
flutamide,316,5.76770788610182e-05,-0.190554612
minaprine,317,0.000157412,-0.190051169
licarbazepine,318,8.5608716968825e-05,-0.189940984
telcagepant,319,5.89986659631432e-05,-0.189893017
HC-030031,320,6.45289016953809e-05,-0.189478578
artemisinin,321,7.87021944296457e-05,-0.188834763
desvenlafaxine,322,7.87021944296457e-05,-0.188652581
flunarizine,323,6.18483076727408e-05,-0.188557945
gabapentin,324,6.23011951671528e-05,-0.188123602
montelukast,325,3.2835635987744e-05,-0.188036822
ranitidine,326,6.40865668480185e-05,-0.187805805
nefiracetam,327,6.48756244244941e-05,-0.187309787
bucladesine,328,7.10586295309904e-05,-0.187235485
valsartan,329,0.000109137,-0.186592248
clozapine,330,5.76770788610182e-05,-0.186385488
xaliproden,331,4.26671645906225e-05,-0.18572994
methylnorlichexanthone,332,7.06563959771642e-05,-0.185612699
oxymetazoline,333,0.000119654,-0.185384081
remacemide,334,0.000150218,-0.185100079
eliprodil,335,9.35749258097429e-05,-0.185058888
suramin,336,0.000109533,-0.184916445
fananserin,337,8.93489118315036e-05,-0.183842728
BADGE,338,0.000147355,-0.183702133
tripelennamine,339,0.000177338,-0.183478475
flumazenil,340,0.000109383,-0.183043467
OG-L002,341,0.000152062,-0.182431762
sildenafil,342,0.00010177,-0.181858223
adapalene,343,0.000173631,-0.181577897
HDAC3-selective,344,0.000141631,-0.181505571
AGI-5198,345,0.00011682,-0.181478539
GSK-429286A,346,0.000106422,-0.180888001
RS-127445,347,0.000114796,-0.180684015
clodronic-acid,348,0.000170932,-0.180413002
laropiprant,349,0.000200215,-0.180315052
FK-866,350,9.26861701842346e-05,-0.180025365
MRS-1754,351,0.000128741,-0.179977298
cytarabine,352,0.000204955,-0.179536223
BRD-K14609189,353,0.000127732,-0.178762734
T-5224,354,0.000280194,-0.178376222
tranylcypromine,355,8.42875254914184e-05,-0.17833267
SDZ-WAG-994,356,0.000238197,-0.178231094
phenelzine,357,0.000173724,-0.177965185
trimethobenzamide,358,0.000366946,-0.177753683
pirfenidone,359,0.000170932,-0.17769916
PSB-069,360,0.000134387,-0.1774424
procaterol,361,0.000155039,-0.177142131
NS-3694,362,0.000238398,-0.176665133
zamifenacin,363,0.000197777,-0.176380751
Ro-25-6981,364,0.000149548,-0.17631763
benazepril,365,0.000170932,-0.176246821
propentofylline,366,0.000205865,-0.175604624
rimonabant,367,0.00031464,-0.175504347
propylpyrazole,368,0.000345388,-0.175334876
ODQ,369,0.000298744,-0.174503793
baclofen,370,0.00033647,-0.174252979
dopamine,371,0.000356967,-0.174039802
cyclophosphamide,372,0.000228159,-0.173870332
warfarin,373,0.000396714,-0.173658935
WAY-100635,374,0.000380059,-0.173342986
pimobendan,375,0.000266604,-0.173317432
BRD-K58033748,376,0.000326587,-0.173235867
HLI-373,377,0.000315276,-0.173110016
bopindolol,378,0.000262257,-0.172554999
CP-91149,379,0.000385035,-0.172511377
fexofenadine,380,0.000292708,-0.172447348
PNU-22394,381,0.000378409,-0.172409473
glycitein,382,0.000309361,-0.171924267
androstenedione,383,0.000409006,-0.171740719
HO-013,384,0.000410618,-0.171645627
embelin,385,0.000375629,-0.171524285
resminostat,386,0.000303692,-0.171523392
rabeprazole,387,0.000410618,-0.171328206
piroxicam,388,0.000459603,-0.171216454
fluspirilene,389,0.001449229,-0.171015814
delivert,390,0.000609811,-0.170563382
ifenprodil,391,0.000361558,-0.170557376
manumycin-a,392,0.001148906,-0.170127012
SB-239063,393,0.000298744,-0.170011431
baricitinib,394,0.000351939,-0.169768895
desoxypeganine,395,0.000795421,-0.169684819
eszopiclone,396,0.000316714,-0.169650992
vandetanib,397,0.000835539,-0.169585585
PCO-400,398,0.000311764,-0.169447154
ritodrine,399,0.000378793,-0.169127568
XMD-885,400,0.000142147,-0.16912675
terazosin,401,0.000462693,-0.168332086
furosemide,402,0.000309361,-0.168268741
Y-27632,403,0.000292708,-0.16795776
caffeine,404,0.000502853,-0.167815508
bexarotene,405,0.000638493,-0.167464385
NVP-BHG712,406,0.000472628,-0.1671214
gossypol,407,0.000701969,-0.167023589
MK-2461,408,0.000701969,-0.166998575
MK-0773,409,0.000395484,-0.166890728
EVP-6124,410,0.000529907,-0.166887139
LY-2140023,411,0.000316714,-0.16678477
SCH-23390,412,0.000408159,-0.166686902
arvanil,413,0.000891058,-0.166626659
fingolimod,414,0.000784623,-0.166073174
copanlisib,415,0.000435684,-0.165883566
spiramide,416,0.000617582,-0.165430381
L-701324,417,0.000375629,-0.16530812
SIB-1757,418,0.000719917,-0.164712178
resatorvid,419,0.000310511,-0.164628494
tiaprofenic-acid,420,0.000509238,-0.164539167
JTE-907,421,0.00087171,-0.164443648
cortisone-acetate,422,0.000647063,-0.164404473
NBQX,423,0.000589679,-0.163504808
repsox,424,0.000806882,-0.163449664
irsogladine,425,0.000426531,-0.16315054
BIX-02189,426,0.000701969,-0.162852665
otamixaban,427,0.001164193,-0.162649715
methoxamine,428,0.000522544,-0.162462433
odanacatib,429,0.000618733,-0.16246001
clonidine,430,0.00077492,-0.162216695
levosulpiride,431,0.000308368,-0.162120731
REV-5901,432,0.000481928,-0.162051571
tetrahydrobiopterin,433,0.000928719,-0.162020133
SLV-320,434,0.000369635,-0.16181248
GW-9508,435,0.000872097,-0.161546131
enobosarm,436,0.00073016,-0.16143108
glycopyrrolate,437,0.00057219,-0.16101838
exherin,438,0.00076218,-0.160485043
methoxyflurane,439,0.000716169,-0.160474941
LY-344864,440,0.000696285,-0.160413182
LE-300,441,0.000766149,-0.160083024
etofenamate,442,0.000889458,-0.160050293
SCH-28080,443,0.000733282,-0.15886101
chlorotrianisene,444,0.001622689,-0.158616617
amcinonide,445,0.001306713,-0.158560008
PRIMA1,446,0.000472628,-0.158012646
kawain,447,0.001370486,-0.157663543
3-methyl-GABA,448,0.001159886,-0.157631706
glibenclamide,449,0.000993773,-0.157179606
pranlukast,450,0.001496038,-0.156810266
BRD-K61463582,451,0.001095664,-0.156707289
PHTPP,452,0.001096487,-0.156389374
SR-144528,453,0.00118631,-0.156123343
hydrochlorothiazide,454,0.00170254,-0.156070104
erythromycin-ethylsuccinate,455,0.001123239,-0.155943807
VE-821,456,0.001087967,-0.155811295
gabexate,457,0.000888242,-0.15572685
tanespimycin,458,0.001167168,-0.154446291
dipyridamole,459,0.001013104,-0.154246412
deflazacort,460,0.00158042,-0.153982129
adiphenine,461,0.001546833,-0.153965607
JX-401,462,0.001259675,-0.153963254
teriflunomide,463,0.002363033,-0.153788572
basimglurant,464,0.001737494,-0.153655234
L-803087,465,0.000955595,-0.153611687
procainamide,466,0.001113784,-0.153492138
thiotepa,467,0.00169847,-0.153417309
phenanthridone,468,0.001666402,-0.153389624
elacridar,469,0.001459664,-0.153231921
carbimazole,470,0.002175661,-0.153059992
tacrolimus,471,0.001702213,-0.152916006
halcinonide,472,0.00186626,-0.152868458
UB-165,473,0.001812899,-0.152825342
SR-2640,474,0.001931324,-0.152586911
piretanide,475,0.002459852,-0.151631913
nelfinavir,476,0.001851068,-0.151358562
ARC-239,477,0.001643224,-0.151152996
palmitoylethanolamide,478,0.001958643,-0.150908702
nintedanib,479,0.001625144,-0.150872279
etizolam,480,0.001277803,-0.150829635
azilsartan,481,0.001661949,-0.15055498
mycophenolate-mofetil,482,0.001261787,-0.150472094
PSB-1115,483,0.001622689,-0.150357455
KB-R7943,484,0.002983632,-0.150056199
pimecrolimus,485,0.004019694,-0.150013631
pargyline,486,0.002081477,-0.149953903
oleamide,487,0.002297703,-0.149622011
carfilzomib,488,0.001699866,-0.149526347
SDZ-NKT-343,489,0.002055357,-0.1488369
linoleamide,490,0.00170254,-0.148234868
JNJ-38877605,491,0.002260509,-0.14798618
pantoprazole,492,0.002616974,-0.147936114
BMY-7378,493,0.002268344,-0.14778966
bromperidol,494,0.001745437,-0.147777414
CGS-20625,495,0.001997995,-0.147414772
barasertib,496,0.002431347,-0.147249553
tibolone,497,0.002219595,-0.147241465
XAV-939,498,0.001668085,-0.147231176
retinol,499,0.002114997,-0.14705798
acrivastine,500,0.001827013,-0.1468312
BRD-K70693222,501,0.001947824,-0.146809148
saracatinib,502,0.002799943,-0.146390323
etretinate,503,0.003034693,-0.145950292
AR-A014418,504,0.002364432,-0.145830597
FR-139317,505,0.002096116,-0.145699048
pergolide,506,0.002660719,-0.145297145
synephrine,507,0.002755633,-0.145214485
fentiazac,508,0.002693612,-0.145105128
GW-1929,509,0.002617856,-0.144974444
diminazene-aceturate,510,0.00253103,-0.144917411
benzotript,511,0.003168531,-0.144806973
voglibose,512,0.003282802,-0.144576127
pindolol,513,0.002131624,-0.144544441
PLX-4720,514,0.002556246,-0.144358064
equol,515,0.00348943,-0.144076154
tianeptine,516,0.00233326,-0.14404963
palovarotene,517,0.003125293,-0.144015638
MK-8033,518,0.003619845,-0.143922249
captopril,519,0.003641291,-0.143818264
triprolidine,520,0.003309113,-0.143618975
SKF-81297,521,0.002768765,-0.143514792
amtolmetin-guacil,522,0.003627235,-0.143317369
tolbutamide,523,0.003403348,-0.143296097
bretazenil,524,0.003323929,-0.143249338
barasertib-HQPA,525,0.002453527,-0.143088587
DY-131,526,0.003395879,-0.142941264
talipexole,527,0.003642268,-0.142817267
abamectin,528,0.003503618,-0.142741474
apixaban,529,0.002837345,-0.142343039
harpagoside,530,0.002717388,-0.142320076
mesalazine,531,0.003202597,-0.142315371
cyanopindolol,532,0.003610979,-0.142171287
metharbital,533,0.005411618,-0.141460564
2-phenylmelatonin,534,0.002405045,-0.140968553
BRD-K67582595,535,0.003714749,-0.14090573
edrophonium,536,0.0033175,-0.140874928
rofecoxib,537,0.003403348,-0.140856294
CGP-55845,538,0.003521928,-0.140643847
salidroside,539,0.004670935,-0.14019433
S-111,540,0.003372185,-0.140128867
etazolate,541,0.005507722,-0.139754607
doxazosin,542,0.005046854,-0.1396745
pizotifen,543,0.004097769,-0.138909055
azapropazone,544,0.005744117,-0.138767971
BRD-K20168484,545,0.003787973,-0.138401014
agomelatine,546,0.002845676,-0.138285092
histamine,547,0.004518872,-0.137561293
carbachol,548,0.005587269,-0.137535058
oleoylethanolamide,549,0.006038585,-0.137459913
diphemanil,550,0.004249565,-0.137454247
dexbrompheniramine,551,0.00786984,-0.137419752
tanaproget,552,0.005686799,-0.13728935
indoximod,553,0.004366362,-0.137060871
gelsemine,554,0.004352297,-0.136987902
quetiapine,555,0.003897922,-0.136768864
maprotiline,556,0.008167247,-0.136359642
alpelisib,557,0.004428476,-0.135960456
terguride,558,0.00573927,-0.135937485
immethridine,559,0.006695408,-0.135843236
wnt-c59,560,0.008048562,-0.135595536
ZD-2079,561,0.005292584,-0.13536351
SB-228357,562,0.005434588,-0.135224462
tanshinone-iia,563,0.003619845,-0.13491043
taurocholic-acid,564,0.004611658,-0.13489367
BRL-37344,565,0.005513736,-0.13472714
SCH-900776,566,0.005513736,-0.134100139
fidarestat,567,0.005405782,-0.134056471
PD-123319,568,0.007541043,-0.133916604
ALW-II-49-7,569,0.005825683,-0.133908077
PF-04217903,570,0.005047052,-0.133792642
diethylcarbamazine,571,0.004703563,-0.133756868
ibuprofen,572,0.00645935,-0.133077018
XMD-892,573,0.004500479,-0.132366362
lorglumide,574,0.00700162,-0.132315663
AR-C133057XX,575,0.00524898,-0.13121641
pyrazinamide,576,0.007450972,-0.130123007
forskolin,577,0.008827213,-0.129869885
galantamine,578,0.007786912,-0.129853287
reichstein,579,0.00996668,-0.129781426
metamizole,580,0.008310891,-0.12966744
vecuronium,581,0.00786984,-0.129660041
carbinoxamine,582,0.007792504,-0.12946254
verapamil,583,0.008547772,-0.129109666
AG-494,584,0.008547772,-0.128866222
dinoprostone,585,0.010043109,-0.128502012
castanospermine,586,0.007611955,-0.128254116
vinpocetine,587,0.009578955,-0.128054659
BRD-K19059335,588,0.011974563,-0.128054529
AZD-7762,589,0.006632219,-0.128028326
